
========================================================================
=== SeedSweep final report (top-10% freerun means) ===
========================================================================
DIM=10  M=2  num_seeds=800  threads=16  epochs=100  freerun_runs=1000
base_esn_seed=1002999015000000000  base_orbit_seed=9333312947715283458
ok=800 / 800

--- All seeds (sorted by mean VPT*duty) ---
note: VxD_mn is mean of top-10% (VPT*duty) products, not VPT_mn*duty_mn (top-10% pools are independent per metric).
rank    idx             esn_seed     VxD_mn     VPT_mn    duty_mn    RMSE_mn  r_VxD  r_VPT r_duty
1       656  7934791766227647176      1.393       3.85      0.457   0.425767      1      1     91
2       591  8982357012682103037      1.360       3.77      0.454   0.423835      2      2    125
3       301  3079493423467196890      1.301       3.54      0.467   0.422162      3     15     24
4       166  7446619053544319530      1.297       3.59      0.464   0.422631      4      5     42
5        62  7177932529503219229      1.288       3.59      0.462   0.420768      5      6     53
6       288  6461037296157168862      1.285       3.54      0.472   0.421672      6     13      9
7       635 13435823681926491900      1.276       3.46      0.453   0.421649      7     37    133
8       610 10201570615112633806      1.275       3.50      0.457   0.418711      8     22     92
9       401 18405365351339599371      1.273       3.53      0.470   0.420201      9     17     13
10      794  4950050133777070656      1.268       3.64      0.441   0.427613     10      3    247
11      314 18235960694024879109      1.264       3.47      0.475   0.421063     11     26      5
12      714 13782715406986460949      1.263       3.54      0.447   0.424229     12     14    184
13      254 15886750120299046464      1.254       3.31      0.480   0.412927     13    122      1
14       86  1826540127586587226      1.252       3.46      0.468   0.423696     14     34     19
15      521  8585937902693122814      1.249       3.55      0.463   0.416406     15     10     50
16       63  1696850237745360670      1.248       3.61      0.443   0.426221     16      4    231
17      692   938258227231889449      1.245       3.46      0.476   0.422671     17     33      4
18      213  3735287202023902561      1.242       3.52      0.461   0.423402     18     19     58
19      524 10402359954153541494      1.240       3.55      0.446   0.422933     19      9    205
20       74 16524137892421967850      1.240       3.46      0.459   0.419161     20     30     78
21      503 10253254895481126005      1.236       3.56      0.442   0.415868     21      7    240
22      528  1844112079097078281      1.235       3.39      0.461   0.423196     22     68     59
23       92  4112530987988204306      1.234       3.38      0.462   0.423651     23     69     56
24      496  9759927329523687160      1.232       3.55      0.452   0.422377     24     12    150
25      479 16007167625615484964      1.232       3.44      0.449   0.418351     25     42    171
26      413 13431275153296210878      1.232       3.43      0.455   0.414786     26     44    116
27      137 13772357656572001816      1.230       3.53      0.438   0.417203     27     16    287
28       61 11915258333378050952      1.227       3.43      0.460   0.424514     28     46     65
29      541   758712030103328587      1.226       3.56      0.459   0.422326     29      8     79
30      412  6755803033490384922      1.225       3.45      0.467   0.420391     30     38     28
31      710 10654561239794450141      1.225       3.50      0.442   0.423698     31     21    245
32      308 18378382162245915791      1.225       3.46      0.465   0.423391     32     32     39
33      708 14884963152919897189      1.224       3.37      0.467   0.422430     33     82     30
34      746  3087680617109673986      1.222       3.55      0.434   0.426399     34     11    324
35      188  5330595307729750981      1.220       3.35      0.452   0.425220     35     96    147
36      447  8843851856875942054      1.220       3.33      0.466   0.420573     36    107     36
37      364  3799821911787280639      1.220       3.53      0.442   0.412049     37     18    239
38      469 12911231800197301841      1.219       3.42      0.455   0.425045     38     51    121
39      397  2096962672418366145      1.216       3.35      0.470   0.423338     39     92     14
40      762  3520645435959983227      1.216       3.39      0.436   0.420382     40     62    300
41      360 13233193657990621209      1.215       3.46      0.456   0.427170     41     36    104
42      212 13001334887217455578      1.214       3.44      0.468   0.420322     42     41     22
43      265  9727351458753418011      1.213       3.38      0.437   0.425159     43     70    295
