step,lt,err,locked,pred_x,pred_y,pred_z,true_x,true_y,true_z,drive_x,drive_y,drive_z,drive_xz
43,0.778816,0.0371215,1,-0.371974,-0.366246,0.164621,-0.41062,-0.401408,0.202092,-0.371974,-0.366246,0.148159,-0.0428642
44,0.796928,0.0368153,1,-0.366357,-0.354285,0.16436,-0.403771,-0.382526,0.20759,-0.366357,-0.354285,0.147924,-0.0421502
45,0.81504,0.0358219,1,-0.359202,-0.34214,0.161859,-0.394732,-0.363718,0.20792,-0.359202,-0.34214,0.145673,-0.040698
46,0.833152,0.0343909,1,-0.351551,-0.331566,0.1555,-0.38401,-0.346005,0.203313,-0.351551,-0.331566,0.13995,-0.0382662
47,0.851264,0.0321194,1,-0.343226,-0.322042,0.147483,-0.37219,-0.33022,0.194272,-0.343226,-0.322042,0.132735,-0.0354341
48,0.869376,0.0297162,1,-0.335242,-0.31498,0.136342,-0.359882,-0.316968,0.181487,-0.335242,-0.31498,0.122708,-0.0319953
49,0.887488,0.0266828,1,-0.327306,-0.309094,0.124335,-0.34767,-0.306623,0.165748,-0.327306,-0.309094,0.111902,-0.0284869
50,0.9056,0.0238406,1,-0.320275,-0.306266,0.110357,-0.336084,-0.29935,0.147871,-0.320275,-0.306266,0.0993209,-0.0247411
51,0.923712,0.0202589,1,-0.314138,-0.304641,0.0968533,-0.325569,-0.295155,0.128643,-0.314138,-0.304641,0.0871679,-0.0212977
52,0.941824,0.0171691,1,-0.308997,-0.305312,0.0823597,-0.316479,-0.293929,0.108794,-0.308997,-0.305312,0.0741237,-0.0178142
53,0.959936,0.0135231,1,-0.305088,-0.307017,0.0689851,-0.30908,-0.295494,0.0889833,-0.305088,-0.307017,0.0620866,-0.0147326
54,0.978048,0.01093,1,-0.302373,-0.311743,0.0552915,-0.30355,-0.299641,0.0698022,-0.302373,-0.311743,0.0497624,-0.0117031
55,0.99616,0.00798347,1,-0.301328,-0.317457,0.0439371,-0.299999,-0.306148,0.0517811,-0.301328,-0.317457,0.0395434,-0.00926763
56,1.01427,0.00669266,1,-0.3016,-0.325791,0.0335077,-0.298475,-0.31479,0.0354015,-0.3016,-0.325791,0.0301569,-0.00707415
57,1.03238,0.00652202,1,-0.303601,-0.334508,0.0258299,-0.298976,-0.325347,0.0211073,-0.303601,-0.334508,0.0232469,-0.0054894
58,1.0505,0.00820328,1,-0.306954,-0.345646,0.0196472,-0.301461,-0.337589,0.00931328,-0.306954,-0.345646,0.0176825,-0.00422155
